Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Distance10
2.45,1.25,8.0,0.7,5.4,0.95,8.0,2.0,0.65,6.7
2.25,1.15,8.0,0.05,5.4,0.8,8.0,1.85,0.8,6.65
2.4,1.05,8.0,0.5,5.35,0.7,8.0,1.55,7.65,7.6
2.35,0.9,7.95,0.35,8.0,0.5,8.0,1.65,1.05,7.4
2.35,0.75,7.95,0.15,8.0,0.25,8.0,7.95,8.0,7.0
2.35,0.5,8.0,0.15,8.0,0.1,8.0,0.85,8.0,1.35
2.15,0.4,8.0,1.15,8.0,1.45,8.0,1.9,7.9,1.6
2.25,0.85,8.0,1.75,8.0,2.3,8.0,2.6,8.0,2.55
2.25,1.3,8.0,1.95,8.0,3.45,8.0,5.2,8.0,4.1
2.25,1.9,8.0,2.5,8.0,3.65,8.0,2.3,8.0,3.45
2.55,2.4,7.9,3.05,8.0,3.75,8.0,5.75,8.0,3.05
3.1,2.9,7.9,3.55,8.0,4.15,8.0,3.35,4.55,2.55
0.0,0.0,7.9,4.15,8.0,3.6,8.0,5.05,8.0,2.1
0.0,0.0,7.85,3.65,8.0,3.15,8.0,4.75,8.0,1.55
0.0,0.0,8.0,3.1,8.0,2.55,8.0,4.25,8.0,1.0
5.4,3.05,8.0,2.6,8.0,2.05,8.0,1.4,6.7,0.55
0.0,0.0,8.0,2.05,8.0,1.5,8.0,0.8,7.3,0.0
3.45,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.45,1.7,8.0,1.25,8.0,0.7,7.0,0.05,4.7,0.7
3.2,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.25,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.65,2.05,7.95,1.55,7.05,1.0,6.25,0.35,3.75,0.4
6.7,2.2,8.0,1.75,7.25,1.2,8.0,0.55,7.95,0.2
7.1,2.35,8.0,1.85,7.15,1.3,5.8,0.7,2.35,0.05
7.0,2.4,8.0,1.95,7.05,1.4,8.0,0.8,7.95,0.05
6.95,2.45,8.0,2.0,7.05,1.45,8.0,0.85,7.95,0.1
5.6,2.45,8.0,2.0,7.05,1.45,8.0,0.85,7.15,0.1
6.75,2.5,8.0,2.0,6.3,1.45,5.35,0.85,0.25,0.05
6.9,2.5,8.0,2.05,7.05,1.45,8.0,0.85,6.3,0.05
